model,split,population,group,count,observed_bad,expected_bad,average_probability,observed_good,expected_good
accepted_only,validation,synthetic_accepted,6,3995,258,276.2178836266618,0.06914089702795038,3737,3718.7821163733383
accepted_only,validation,synthetic_accepted,7,3995,378,360.8004112644424,0.09031299405868395,3617,3634.1995887355574
accepted_only,validation,synthetic_accepted,8,3995,534,498.12828947577566,0.1246879322842993,3461,3496.8717105242245
accepted_only,validation,synthetic_accepted,9,3995,915,907.5649886689416,0.22717521618746975,3080,3087.4350113310584
accepted_only,validation,synthetic_rejected,0,2156,43,31.335534252473977,0.014534106796138209,2113,2124.664465747526
accepted_only,validation,synthetic_rejected,1,2155,64,54.99678976560447,0.025520552095408107,2091,2100.0032102343957
accepted_only,validation,synthetic_rejected,2,2155,79,76.95901064502324,0.03571183788632169,2076,2078.040989354977
accepted_only,validation,synthetic_rejected,3,2155,92,100.30573447077225,0.04654558444119362,2063,2054.694265529228
accepted_only,validation,synthetic_rejected,4,2155,154,127.75602266622383,0.05928353720010386,2001,2027.2439773337762
accepted_only,validation,synthetic_rejected,5,2155,170,161.2186556408265,0.07481144113263412,1985,1993.7813443591735
accepted_only,validation,synthetic_rejected,6,2154,218,204.56741388595137,0.09497094423674622,1936,1949.4325861140487
accepted_only,validation,synthetic_rejected,7,2156,304,266.3320529257636,0.1235306367930258,1852,1889.6679470742365
accepted_only,validation,synthetic_rejected,8,2155,403,360.7391906428123,0.16739637616835837,1752,1794.2608093571878
accepted_only,validation,synthetic_rejected,9,2155,637,621.7588430723176,0.288519184720333,1518,1533.2411569276824
parcelled,validation,full,0,6151,92,81.69222968661474,0.01328112984662896,6059,6069.307770313385
parcelled,validation,full,1,6150,154,145.46682075910752,0.02365314158684675,5996,6004.533179240892
parcelled,validation,full,2,6150,175,202.96296228518707,0.03300210768864831,5975,5947.037037714813
parcelled,validation,full,3,6150,195,266.6841425236571,0.04336327520709871,5955,5883.315857476343
parcelled,validation,full,4,6150,278,339.6713097844376,0.05523110728202237,5872,5810.328690215562
parcelled,validation,full,5,6150,408,429.9187932981884,0.06990549484523388,5742,5720.081206701811
parcelled,validation,full,6,6150,469,545.8065908283556,0.08874903915908222,5681,5604.193409171645
parcelled,validation,full,7,6150,657,705.0543761156043,0.11464298798627713,5493,5444.945623884396
parcelled,validation,full,8,6150,953,957.3568080050137,0.15566777365935183,5197,5192.643191994986
parcelled,validation,full,9,6151,1584,1630.5390176722128,0.2650851922731609,4567,4520.460982327787
parcelled,validation,synthetic_accepted,0,3996,46,48.457375460236214,0.012126470335394449,3950,3947.542624539764
parcelled,validation,synthetic_accepted,1,3995,91,85.48797732489416,0.021398742759673132,3904,3909.512022675106
parcelled,validation,synthetic_accepted,2,3995,111,118.43179308573937,0.02964500452709371,3884,3876.568206914261
parcelled,validation,synthetic_accepted,3,3995,119,154.97911785788114,0.03879327105328689,3876,3840.020882142119
parcelled,validation,synthetic_accepted,4,3995,135,197.07600113344216,0.049330663612876635,3860,3797.9239988665577
