population,feature,bin,expected_share,actual_share,csi_contribution
test,EXT_SOURCE_3,N2,0.04647003349484569,0.046160349901630815,2.0706874289384063e-06
test,EXT_SOURCE_3,N3,0.04548361570897423,0.044713266019543764,1.3159059662230907e-05
test,EXT_SOURCE_3,N4,0.043743834888838304,0.04268084483683723,2.6150049710112202e-05
test,EXT_SOURCE_3,N5,0.043868492081558325,0.043103588442840186,1.3454723831327982e-05
test,EXT_SOURCE_3,N6,0.04155420419932143,0.04151017023559826,4.668644424278428e-08
test,EXT_SOURCE_3,N7,0.03919655729352975,0.03905500544688877,5.121162170060498e-07
test,EXT_SOURCE_3,N8,0.07989984065558843,0.07861405134708876,2.085988030477809e-05
test,EXT_SOURCE_3,N9,0.07865326872838824,0.08022372892379233,3.104823975829349e-05
test,EXT_SOURCE_1,MISSING,0.5639003609638711,0.56307822382648,1.1995074293357044e-06
test,EXT_SOURCE_1,N0,0.07619264414165393,0.07558980862722144,4.788597913905422e-06
test,EXT_SOURCE_1,N1,0.07202475800244978,0.06986651057671983,6.5661421974292e-05
test,EXT_SOURCE_1,N2,0.04525598083531159,0.047087133960944993,7.263262432140896e-05
test,EXT_SOURCE_1,N3,0.06546670568978787,0.06469603108791441,9.126210731332063e-06
test,EXT_SOURCE_1,N4,0.04174389992737364,0.041900395102677915,5.855932783302126e-07
test,EXT_SOURCE_1,N5,0.04015045581173512,0.04268084483683723,0.0001546483383260063
test,EXT_SOURCE_1,N6,0.09526519462781698,0.09510105198120417,2.8306294413048403e-07
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,MISSING,0.17097004975447952,0.17306472854982682,2.5507499541457975e-05
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N0,0.3177674438771639,0.32118758434547906,3.6614384499312596e-05
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N1,0.08219786890399228,0.08310163731850478,9.882733527224914e-06
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N10,0.044768191820320206,0.0442580036746175,5.847600070918008e-06
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N2,0.042405125036584175,0.0428596979009154,4.846980023684576e-06
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N3,0.04203115345842411,0.041575207713444876,4.973032682391287e-06
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N4,0.04168970114793015,0.04059964554574574,2.8880791284100453e-05
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N5,0.04224252869825371,0.040680942393054,5.882146707292261e-05
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N6,0.08535765774554757,0.08420727444189714,1.5609383763354393e-05
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N7,0.04328856514151301,0.0432011446596101,1.7672260148133383e-07
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N8,0.043781774034448745,0.04349381330991984,1.9002262213092718e-06
test,BUREAU_DEBT_CREDIT_RATIO_MEAN,N9,0.04349994038134261,0.0417703201469847,7.017678904178867e-05
test,DAYS_EMPLOYED,MISSING,0.18007544470098533,0.17979610750695088,4.3365074656987633e-07
test,DAYS_EMPLOYED,N0,0.039771064355630714,0.03947774905289173,2.1712441102535235e-06
test,DAYS_EMPLOYED,N1,0.03953258972607937,0.03967286148643156,4.968392205802318e-07
test,DAYS_EMPLOYED,N10,0.041369928349213575,0.040973611043363736,3.814959155240639e-06
test,DAYS_EMPLOYED,N11,0.08281573498964803,0.08373575272750923,1.0164319262617673e-05
test,DAYS_EMPLOYED,N12,0.04164634212437536,0.04289221663983871,3.6724441952445495e-05
test,DAYS_EMPLOYED,N13,0.20797155648054805,0.20719314504983496,2.9189623455919503e-06
test,DAYS_EMPLOYED,N2,0.03989572154835073,0.03762418093426337,0.00013316256085189524
test,DAYS_EMPLOYED,N3,0.040378090685397765,0.040534608067899124,6.055346554631958e-07
test,DAYS_EMPLOYED,N4,0.040378090685397765,0.042241841861372614,8.409974968945594e-05
test,DAYS_EMPLOYED,N5,0.040990536893109164,0.03912004292473538,8.73638340199352e-05
test,DAYS_EMPLOYED,N6,0.040676183972336945,0.04084353608767052,6.87116438331217e-07
test,DAYS_EMPLOYED,N7,0.0818997756170531,0.08321545290473635,2.0967700892375426e-05
test,DAYS_EMPLOYED,N8,0.04164634212437536,0.040713461131977303,2.1134197325403384e-05
test,DAYS_EMPLOYED,N9,0.04095259774749872,0.04196543258052453,2.474456807271465e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,MISSING,0.14296554041602982,0.1449360193811684,2.6973441791327863e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N0,0.20376031131778913,0.20781100108937775,7.973644883734776e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N1,0.12570322916327925,0.12627026323919158,2.552079450413919e-06
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N10,0.04643209434923525,0.04516852836447002,3.486221447921256e-05
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N11,0.04470315328498802,0.044501894216542284,9.081387767270481e-07
test,BUREAU_DAYS_CREDIT_MOST_RECENT,N12,0.04458391597021235,0.045818903142936115,3.3744261963861825e-05
